Region,Date,Unemployment_Rate
Andhra Pradesh,2019-05-31,3.65
Andhra Pradesh,2019-06-30,3.05
Andhra Pradesh,2019-07-31,3.75
Andhra Pradesh,2019-08-31,3.32
Andhra Pradesh,2019-09-30,5.17
Andhra Pradesh,2019-10-31,3.52
Andhra Pradesh,2019-11-30,4.12
Andhra Pradesh,2019-12-31,4.38
Andhra Pradesh,2020-01-31,4.84
Andhra Pradesh,2020-02-29,5.91
Andhra Pradesh,2020-03-31,4.06
Andhra Pradesh,2020-04-30,16.29
Andhra Pradesh,2020-05-31,14.46
Andhra Pradesh,2020-06-30,0.85
Assam,2019-05-31,4.29
Assam,2019-06-30,5.08
Assam,2019-07-31,4.26
Assam,2019-08-31,5.79
Assam,2019-09-30,4.46
Assam,2019-10-31,4.65
Assam,2019-11-30,4.66
Assam,2020-01-31,4.29
Assam,2020-02-29,3.26
Assam,2020-03-31,3.77
Assam,2020-05-31,9.38
Assam,2020-06-30,0.0
Bihar,2019-05-31,9.27
Bihar,2019-06-30,10.2
Bihar,2019-07-31,13.44
Bihar,2019-08-31,11.0
Bihar,2019-09-30,8.87
Bihar,2019-10-31,12.47
Bihar,2019-11-30,12.4
Bihar,2019-12-31,10.16
Bihar,2020-01-31,9.13
Bihar,2020-02-29,9.61
Bihar,2020-03-31,15.39
Bihar,2020-04-30,45.09
Bihar,2020-05-31,47.26
Bihar,2020-06-30,20.49
Chhattisgarh,2019-05-31,9.82
Chhattisgarh,2019-06-30,6.76
Chhattisgarh,2019-07-31,4.54
Chhattisgarh,2019-08-31,4.64
Chhattisgarh,2019-09-30,8.33
Chhattisgarh,2019-10-31,6.96
Chhattisgarh,2019-11-30,2.77
Chhattisgarh,2019-12-31,6.11
Chhattisgarh,2020-01-31,9.89
Chhattisgarh,2020-02-29,7.89
Chhattisgarh,2020-03-31,7.31
Chhattisgarh,2020-04-30,0.0
Chhattisgarh,2020-05-31,7.64
Chhattisgarh,2020-06-30,10.14
Delhi,2019-05-31,12.56
Delhi,2019-06-30,9.33
Delhi,2019-07-31,11.07
Delhi,2019-08-31,17.18
Delhi,2019-09-30,12.5
Delhi,2019-10-31,15.84
Delhi,2019-11-30,11.11
Delhi,2019-12-31,16.97
Delhi,2020-01-31,13.48
Delhi,2020-02-29,13.81
Delhi,2020-03-31,15.18
Delhi,2020-04-30,20.69
Delhi,2020-05-31,22.76
Delhi,2020-06-30,21.14
Goa,2019-05-31,2.91
Goa,2019-06-30,5.45
Goa,2019-07-31,10.98
Goa,2019-08-31,1.98
Goa,2019-09-30,3.61
Goa,2019-10-31,7.21
Goa,2019-11-30,23.71
Goa,2019-12-31,3.54
Goa,2020-01-31,5.38
Goa,2020-02-29,0.0
Goa,2020-04-30,15.91
Goa,2020-05-31,20.0
Gujarat,2019-05-31,2.88
Gujarat,2019-06-30,4.77
Gujarat,2019-07-31,4.58
Gujarat,2019-08-31,3.7
Gujarat,2019-09-30,6.29
Gujarat,2019-10-31,4.91
Gujarat,2019-11-30,4.68
Gujarat,2019-12-31,3.46
Gujarat,2020-01-31,5.35
Gujarat,2020-02-29,6.64
Gujarat,2020-03-31,7.59
Gujarat,2020-04-30,12.0
Gujarat,2020-05-31,14.58
Gujarat,2020-06-30,1.41
Haryana,2019-05-31,14.54
Haryana,2019-06-30,23.08
Haryana,2019-07-31,16.22
Haryana,2019-08-31,30.94
Haryana,2019-09-30,16.36
Haryana,2019-10-31,24.17
Haryana,2019-11-30,16.59
Haryana,2019-12-31,29.56
Haryana,2020-01-31,16.21
Haryana,2020-02-29,27.19
Haryana,2020-03-31,23.92
Haryana,2020-04-30,41.61
Haryana,2020-05-31,34.22
Haryana,2020-06-30,35.57
Himachal Pradesh,2019-05-31,13.68
Himachal Pradesh,2019-06-30,11.43
Himachal Pradesh,2019-07-31,20.59
Himachal Pradesh,2019-08-31,18.56
Himachal Pradesh,2019-09-30,15.98
Himachal Pradesh,2019-10-31,15.81
Himachal Pradesh,2019-11-30,22.86
Himachal Pradesh,2019-12-31,19.46
Himachal Pradesh,2020-01-31,16.67
Himachal Pradesh,2020-02-29,15.42
Himachal Pradesh,2020-03-31,17.71
Himachal Pradesh,2020-04-30,2.13
Himachal Pradesh,2020-05-31,25.64
Himachal Pradesh,2020-06-30,1.12
Jammu & Kashmir,2019-05-31,12.78
Jammu & Kashmir,2019-06-30,12.09
Jammu & Kashmir,2019-07-31,13.67
Jammu & Kashmir,2019-08-31,11.32
Jammu & Kashmir,2019-10-31,19.27
Jammu & Kashmir,2019-11-30,14.73
Jammu & Kashmir,2020-01-31,22.19
Jammu & Kashmir,2020-02-29,21.23
Jammu & Kashmir,2020-03-31,16.0
Jammu & Kashmir,2020-05-31,2.22
Jammu & Kashmir,2020-06-30,18.97
Jharkhand,2019-05-31,7.11
Jharkhand,2019-06-30,8.46
Jharkhand,2019-07-31,9.98
Jharkhand,2019-08-31,12.06
Jharkhand,2019-09-30,7.12
Jharkhand,2019-10-31,6.57
Jharkhand,2019-11-30,8.07
Jharkhand,2019-12-31,15.15
Jharkhand,2020-01-31,6.16
Jharkhand,2020-02-29,9.06
Jharkhand,2020-03-31,5.01
Jharkhand,2020-04-30,41.72
Jharkhand,2020-05-31,55.1
Jharkhand,2020-06-30,21.53
Karnataka,2019-05-31,5.46
Karnataka,2019-06-30,5.98
Karnataka,2019-07-31,0.52
Karnataka,2019-08-31,0.37
Karnataka,2019-09-30,3.2
Karnataka,2019-10-31,7.13
Karnataka,2019-11-30,1.19
Karnataka,2019-12-31,0.41
Karnataka,2020-01-31,2.57
Karnataka,2020-02-29,4.11
Karnataka,2020-03-31,2.39
Karnataka,2020-04-30,33.17
Karnataka,2020-05-31,23.72
Karnataka,2020-06-30,10.92
Kerala,2019-05-31,6.63
Kerala,2019-06-30,9.0
Kerala,2019-07-31,4.95
Kerala,2019-08-31,10.32
Kerala,2019-09-30,5.35
Kerala,2019-10-31,9.14
Kerala,2019-11-30,5.0
Kerala,2019-12-31,10.77
Kerala,2020-01-31,4.11
Kerala,2020-02-29,8.91
Kerala,2020-03-31,8.85
Kerala,2020-04-30,10.71
Kerala,2020-05-31,23.38
Kerala,2020-06-30,27.66
Madhya Pradesh,2019-05-31,3.63
Madhya Pradesh,2019-06-30,4.25
Madhya Pradesh,2019-07-31,3.92
Madhya Pradesh,2019-08-31,4.94
